Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
SURYALAXMI,,NOCIL,,,,JIOFIN,,BOSCHLTD,,M&M,,TVSMOTOR,,CHEMICAL,,,,,,HDFCLIFE,,SUZLON,,PCJEWELLER,,,,,,,Discipline Beats Intelligence,Common trading wisdom,,ASTRAL,425,425,425
AUTOIND,,SHARDUL,,,,ICICIBANK,,HDFCAMC,,BERGEPAINT,,BERGEPAINT,,GROWWMC150,,,,,,HEROMOTOCO,,TAJGVK,,ALOKINDS,,Status (2025),Date,Day,Occasion,,Patience creates Wealth,Common trading wisdom,,AUBANK,1000,1000,1000
SHARDUL,,SEAMECLTD,,,,RELIANCE,,SIEMENS,,M&MFIN,,SUNDRMFAST,,ABSLPSE,,,,,,HINDALCO,,CENTEXT,,KWIL,,Close,26/02/25,Wednesday,Mahashivratri,,Psychology > Strategy,Common trading wisdom,,AUROPHARMA,550,550,550
SEAMECLTD,,TANLA,,,,TRENT,,OFSS,,CHOICEIN,,M&MFIN,,SNXT30BEES,,,,,,HINDUNILVR,,PVP,,RENUKA,,Close,14/03/25,Friday,Holi,,Consistency wins long term,Common trading wisdom,,AXISBANK,625,625,625
NDTV,,NDTV,,,,HDFCBANK,,UNITDSPR,,LTF,,LTF,,GILT10BETA,,,,,,ICICIBANK,,LICI,,HCC,,Close,31/03/25,Monday,Id-Ul-Fitr (Ramadan Eid),,Trend is your friend.,Market proverb,,BAJAJ-AUTO,75,75,75
TANLA,,AUTOIND,,,,LT,,LODHA,,APOLLOTYRE,,APOLLOTYRE,,VAL30IETF,,,,,,INDUSINDBK,,,,RTNPOWER,,Close,10/04/25,Thursday,Shri Mahavir Jayanti,,Don’t fight the tape.,Jesse Livermore (philosophy),,BAJAJFINSV,300,300,300
ARVEE,,KISSHT,,,,NIFTY,,CUMMINSIND,,AADHARHFC,,ASHOKLEY,,AONETMMQ50,,,,,,INFY,,,,NETWORK18,,Close,14/04/25,Monday,Dr. Baba Saheb Ambedkar Jayanti,,Cash combined with courage in a crisis is PRICELESS,Warren Buffett,,BAJAJHLDNG,75,75,75
SKMEGGPROD,,ARVEE,,,,BAJFINANCE,,SHRIRAMFIN,,THERMAX,,HEROMOTOCO,,DIVIDEND,,,,,,ITC,,,,CCAVENUE,,Close,18/04/25,Friday,Good Friday,,There is no single right way to trade the markets.,Ed Seykota,,BAJFINANCE,750,750,750
KISSHT,,SKMEGGPROD,,,,AXISBANK,,RVNL,,BALKRISIND,,THERMAX,,INFRABEES,,,,,,JIOFIN,,,,PAISALO,,Close,01/05/25,Thursday,Maharashtra Day,,"Win or lose, everybody gets what they want out of the market.",Ed Seykota,,BANDHANBNK,3600,3600,3600
SUPRIYA,,COFORGE,,,,SUNPHARMA,,PIDILITIND,,BLUEJET,,OFSS,,MOMENTUM30,,,,,,JSWSTEEL,,,,IBULLSLTD,,Close,15/08/25,Friday,Independence Day,,"If you can’t take a small loss, sooner or later you will take the mother of all losses.",Ed Seykota,,BANKBARODA,2925,2925,2925
COFORGE,,SUPRIYA,,,,ADANIPORTS,,BHARATFORG,,TATACAP,,ASAHIINDIA,,INFRAIETF,,,,,,KOTAKBANK,,,,SINDHUTRAD,,Close,27/08/25,Wednesday,Ganesh Chaturthi,,"The big money is not in the buying and selling, but in the waiting.",Charlie Munger,,BANKINDIA,5200,5200,5200
UNIDT,,ATAM,,,,APOLLOHOSP,,EXIDEIND,,TMCV,,MTARTECH,,LICNFNHGP,,,,,,LT,,,,EASEMYTRIP,,Close,02/10/25,Thursday,Mahatma Gandhi Jayanti/Dussehra,,Waiting helps you as an investor and a lot of people just can’t stand to wait.,Charlie Munger,,BANKNIFTY,30,30,30
CMPDI,,MFML,,,,HDFCLIFE,,BAJAJHLDNG,,EMCURE,,ENDURANCE,,COMMOIETF,,,,,,M&M,,,,PATELENG,,Close,21/10/25,Tuesday,Diwali Laxmi Pujan*,,"Successful investing is about managing risk, not avoiding it.",Charlie Munger,,BDL,425,425,425
ATAM,,PML,,,,ADANIENT,,GODFRYPHLP,,HONASA,,VIPIND,,MONEXT50,,,,,,MARUTI,,,,FCL,,Close,22/10/25,Wednesday,Diwali-Balipratipada,,An investment in knowledge pays the best interest.,Benjamin Franklin,,BEL,1425,1425,1425
MFML,,UNIDT,,,,TATACONSUM,,TCS,,ENDURANCE,,CAMPUS,,GSEC10YEAR,,,,,,,,,,JINDWORLD,,Close,05/11/25,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,,"Know what you own, and know why you own it.",Peter Lynch,,BHARATFORG,500,500,500
PML,,SINTERCOM,,,,ITC,,MARICO,,POONAWALLA,,SIEMENS,,MID150CASE,,,,,,,,,,IMAGICAA,,Close,25/12/25,Thursday,Christmas,,"he essence of investment management is the management of risks, not the management of returns.",Benjamin Graham,,BHARTIARTL,475,475,475
STALLION,,STALLION,,,,ASIANPAINT,,BAJAJ-AUTO,,SIEMENS,,BALKRISIND,,AXISVALUE,,,,,,,,,,UTKARSHBNK,,,,,,,Rule No.1: Never lose money. Rule No.2: Never forget Rule No.1.,Warren Buffett,,BHEL,2625,2625,2625
NOVAAGRI,,CMPDI,,,,CIPLA,,PAYTM,,NATCOPHARM,,PIDILITIND,,MONQ50,,,,,,,,,,FISCHER,,Status (2024),Date,Day,Occasion,,"It’s not the return on your money that matters, it’s the return of your money.",Will Rogers,,BIOCON,2500,2500,2500
FRONTSP,,RHL,,,,BAJAJFINSV,,SBIN,,DRREDDY,,NATCOPHARM,,HDFCQUAL,,,,,,,,,,BAJAJHIND,,Close,22/01/24,Monday,Special Holiday,,Wide diversification is only required when investors do not understand what they are doing.,Warren Buffett,,BLUESTARCO,325,325,325
RHL,,MANUGRAPH,,,,JSWSTEEL,,TMPV,,ASHOKLEY,,POONAWALLA,,MOM100,,,,,,,,,,JISLJALEQS,,Close,26/01/24,Friday,Republic Day,,Amateurs think about how much money they can make. Professionals think about how much money they could lose.,Jack Schwager,,BOSCHLTD,25,25,25
MANUGRAPH,,JSLL,,,,WIPRO,,JSWENERGY,,HEROMOTOCO,,CUMMINSIND,,FINIETF,,,,,,,,,,RHETAN,,Close,08/03/24,Friday,Mahashivratri,,You don’t need to be right all the time. You just need to lose less when you’re wrong.,Stanley Druckenmiller,,BPCL,1975,1975,1975
SINTERCOM,,NOVAAGRI,,,,ETERNAL,,ABB,,BOSCHLTD,,TATAINVEST,,MOGSEC,,,,,,,,,,MOREPENLAB,,Close,25/03/24,Monday,Holi,,The goal of a successful trader is to make the best trades. Money is secondary.,Alexander Elder,,BRITANNIA,125,125,125
SPIC,,SPIC,,,,INFY,,EICHERMOT,,PIDILITIND,,DRREDDY,,GROWWSC250,,,,,,,,,,FILATEX,,Close,29/03/24,Friday,Good Friday,,Markets can remain irrational longer than you can remain solvent.,John Maynard Keynes,,BSE,200,200,200
JSLL,,AERONEU,,,,GRASIM,,ADANIENSOL,,CUMMINSIND,,ABREL,,SETF10GILT,,,,,,,,,,PFS,,Close,11/04/24,Thursday,Id-Ul-Fitr (Ramadan Eid),,"The stock market is filled with individuals who know the price of everything, but the value of nothing.",Philip Fisher,,CAMS,825,825,825
INTLCONV,,ADL,,,,BHARTIARTL,,COLPAL,,GESHIP,,PAYTM,,MIDSMALL,,,,,,,,,,MSPL,,Close,17/04/24,Wednesday,Shri Ram Navmi,,The market doesn’t care what you think.,Peter Lynch,,CANBK,6750,6750,6750
ADL,,PKTEA,,,,TECHM,,JUBLFOOD,,HDFCAMC,,BOSCHLTD,,SMALLCAP,,,,,,,,,,MTNL,,Close,01/05/24,Wednesday,Maharashtra Day,,Investing should be more like watching paint dry or watching grass grow.,Paul Samuelson,,CDSL,475,475,475
