Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
IZMO,,GAUDIUMIVF,,,,,,POWERINDIA,,HINDUNILVR,,SKFINDIA,,LIQGRWBEES,,,,,,,,,,UNITEDPOLY,,Close,26/01/21,Tuesday,Republic Day,,,,,HINDUNILVR,300,300,300
PRINCEPIPE,,VISASTEEL,,,,,,NIFTY,,CGPOWER,,LEMONTREE,,SBILIQETF,,,,,,,,,,SNOWMAN,,Close,11/03/21,Thursday,Mahashivratri,,,,,HINDZINC,1225,1225,1225
INSPIRISYS,,CALSOFT,,,,,,KPITTECH,,TCS,,TRENT,,ELIQUID,,,,,,,,,,,,Close,29/03/21,Monday,Holi,,,,,HYUNDAI,275,275,275
GAUDIUMIVF,,SADBHAV,,,,,,INOXWIND,,BLUEDART,,DIXON,,MIDQ50ADD,,,,,,,,,,,,Close,02/04/21,Friday,Good Friday,,,,,ICICIBANK,700,700,700
PREMIERPOL,,PROTEAN,,,,,,CAMS,,IEX,,GODREJPROP,,ABSLLIQUID,,,,,,,,,,,,Close,14/04/21,Wednesday,Dr.Baba Saheb Ambedkar Jayanti,,,,,ICICIGI,325,325,325
VISASTEEL,,TERASOFT,,,,,,VBL,,CEMPRO,,CGPOWER,,LIQUIDIETF,,,,,,,,,,,,Close,21/04/21,Wednesday,Ram Navami,,,,,ICICIPRULI,925,925,925
CALSOFT,,WEBELSOLAR,,,,,,MCX,,LT,,IGL,,LIQUIDBEES,,,,,,,,,,,,Close,13/05/21,Thursday,Id-Ul-Fitr (Ramzan ID),,,,,IDEA,71475,71475,71475
SADBHAV,,MCLEODRUSS,,,,,,ALKEM,,NH,,ESCORTS,,LIQUIDETF,,,,,,,,,,,,Close,21/07/21,Wednesday,Bakri Id,,,,,IDFCFIRSTB,9275,9275,9275
TERASOFT,,KAVDEFENCE,,,,,,UPL,,WHIRLPOOL,,LT,,LIQUIDSBI,,,,,,,,,,,,Close,19/08/21,Thursday,Moharram,,,,,IEX,4350,4350,4350
WEBELSOLAR,,TIRUPATIFL,,,,,,INDUSINDBK,,ESCORTS,,SONACOMS,,LIQUID,,,,,,,,,,,,Close,10/09/21,Friday,Ganesh Chaturthi,,,,,INDHOTEL,1000,1000,1000
MCLEODRUSS,,VASCONEQ,,,,,,INDHOTEL,,IGL,,PHOENIXLTD,,SBIETFQLTY,,,,,,,,,,,,Close,15/10/21,Friday,Dussehra,,,,,INDIANB,1000,1000,1000
KAVDEFENCE,,TAKE,,,,,,PIIND,,NESTLEIND,,REDINGTON,,LOWVOL,,,,,,,,,,,,Close,04/11/21,Thursday,Diwali-Laxmi Pujan*,,,,,INDIGO,150,150,150
DCMSIL,,SHIVAMILLS,,,,,,MANKIND,,PCBL,,PAGEIND,,EMULTIMQ,,,,,,,,,,,,Close,05/11/21,Friday,Diwali-Balipratipada,,,,,INDUSINDBK,700,700,700
TIRUPATIFL,,LTM,,,,,,OBEROIRLTY,,SARDAEN,,NESTLEIND,,LTGILTCASE,,,,,,,,,,,,Close,19/11/21,Friday,Gurunanak Jayanti,,,,,INDUSTOWER,1700,1700,1700
VASCONEQ,,VIPULLTD,,,,,,HAVELLS,,REDINGTON,,KOTAKBANK,,MIDCAPIETF,,,,,,,,,,,,,,,,,,,,INFY,400,400,400
TAKE,,AMJLAND,,,,,,BANKNIFTY,,COLPAL,,PCBL,,MOSMALL250,,,,,,,,,,,,,,,,,,,,INOXWIND,6400,6400,6400
SHIVAMILLS,,MORARJEE,,,,,,SUNPHARMA,,AUROPHARMA,,APTUS,,SMALLADD,,,,,,,,,,,,,,,,,,,,IOC,4875,4875,4875
VIPULLTD,,DHRUV,,,,,,ICICIPRULI,,MAZDOCK,,MAZDOCK,,EQUAL200,,,,,,,,,,,,,,,,,,,,IREDA,4525,4525,4525
PROTEAN,,SVPGLOB,,,,,,AXISBANK,,JSWCEMENT,,AUROPHARMA,,CONSUMER,,,,,,,,,,,,,,,,,,,,IRFC,5425,5425,5425
AMJLAND,,WPIL,,,,,,ABCAPITAL,,DIXON,,MEDPLUS,,ABGSEC,,,,,,,,,,,,,,,,,,,,ITC,1725,1725,1725
EUROPRATIK,,PERSISTENT,,,,,,TATACONSUM,,HUDCO,,IEX,,HDFCSML250,,,,,,,,,,,,,,,,,,,,JINDALSTEL,625,625,625
WPIL,,TEGA,,,,,,LTM,,HYUNDAI,,TATATECH,,LTGILTBEES,,,,,,,,,,,,,,,,,,,,JIOFIN,2350,2350,2350
MONTECARLO,,HSCL,,,,,,BANKINDIA,,SCHNEIDER,,TATAELXSI,,MOHEALTH,,,,,,,,,,,,,,,,,,,,JSWENERGY,1075,1075,1075
MORARJEE,,TALBROAUTO,,,,,,AMBER,,PWL,,ULTRACEMCO,,PHARMABEES,,,,,,,,,,,,,,,,,,,,JSWSTEEL,675,675,675
DHRUV,,CTE,,,,,,MOTILALOFS,,SONACOMS,,GLAND,,SETFNN50,,,,,,,,,,,,,,,,,,,,JUBLFOOD,1250,1250,1250
TATATECH,,KSHITIJPOL,,,,,,BAJFINANCE,,GODREJPROP,,COLPAL,,CONSUMIETF,,,,,,,,,,,,,,,,,,,,KALYANKJIL,1350,1350,1350
SVPGLOB,,ROUTE,,,,,,CHOLAFIN,,TATAELXSI,,LLOYDSME,,QUALITY30,,,,,,,,,,,,,,,,,,,,KAYNES,150,150,150
IGIL,,AAATECH,,,,,,PGEL,,WAAREEENER,,AVANTIFEED,,MOM50,,,,,,,,,,,,,,,,,,,,KEI,175,175,175
ANGELONE,,GLAND,,,,,,PNB,,PHOENIXLTD,,CDSL,,TOP10ADD,,,,,,,,,,,,,,,,,,,,KFINTECH,575,575,575
CTE,,TATATECH,,,,,,CNXMIDCAP,,PRESTIGE,,MAHLIFE,,NEXT50IETF,,,,,,,,,,,,,,,,,,,,KOTAKBANK,2000,2000,2000
KSHITIJPOL,,BAJAJHCARE,,,,,,BPCL,,KOTAKBANK,,RADICO,,HEALTHY,,,,,,,,,,,,,,,,,,,,KPITTECH,775,775,775
IDBI,,V2RETAIL,,,,,,HINDPETRO,,PAGEIND,,FDC,,BSLSENETFG,,,,,,,,,,,,,,,,,,,,LAURUSLABS,850,850,850
BAJAJHCARE,,MICEL,,,,,,CROMPTON,,RADICO,,PRESTIGE,,AXISBPSETF,,,,,,,,,,,,,,,,,,,,LICHSGFIN,1000,1000,1000
PERSISTENT,,RETAIL,,,,,,HDFCLIFE,,CDSL,,SAFARI,,GROWWN200,,,,,,,,,,,,,,,,,,,,LICI,1400,1400,1400
TEGA,,KHANDSE,,,,,,ADANIPOWER,,TATATECH,,CERA,,MOMENTUM50,,,,,,,,,,,,,,,,,,,,LODHA,625,625,625
GLAND,,ZODIAC,,,,,,ITC,,GLAND,,GMRAIRPORT,,MOM30IETF,,,,,,,,,,,,,,,,,,,,LT,175,175,175
RETAIL,,IDBI,,,,,,SAMMAANCAP,,APTUS,,ICICIBANK,,EVIETF,,,,,,,,,,,,,,,,,,,,LTF,2250,2250,2250
KHANDSE,,MEDIASSIST,,,,,,LICHSGFIN,,TRENT,,DLF,,QUAL30IETF,,,,,,,,,,,,,,,,,,,,LTM,150,150,150
ZODIAC,,KRISHNADEF,,,,,,ADANIENT,,BLUESTARCO,,BORORENEW,,GROWWLOVOL,,,,,,,,,,,,,,,,,,,,LUPIN,425,425,425
MICEL,,AEROFLEX,,,,,,ADANIPORTS,,ICICIBANK,,INDIACEM,,NIFTYCASE,,,,,,,,,,,,,,,,,,,,MANAPPURAM,3000,3000,3000
ROUTE,,PNC,,,,,,SWIGGY,,AMBER,,MCX,,MOVALUE,,,,,,,,,,,,,,,,,,,,MANKIND,250,250,250
RELIGARE,,WINDMACHIN,,,,,,UNIONBANK,,TECHNOE,,ZYDUSLIFE,,NEXT50ADD,,,,,,,,,,,,,,,,,,,,MARICO,1200,1200,1200
PNC,,RELIGARE,,,,,,POLYCAB,,LLOYDSME,,BLUESTARCO,,ALPL30IETF,,,,,,,,,,,,,,,,,,,,MARUTI,50,50,50
KESORAMIND,,GFLLIMITED,,,,,,CIPLA,,ULTRACEMCO,,AWL,,MOQUALITY,,,,,,,,,,,,,,,,,,,,MAXHEALTH,525,525,525
APOLLO,,VENUSPIPES,,,,,,BHEL,,MCX,,KANSAINER,,BSLNIFTY,,,,,,,,,,,,,,,,,,,,MAZDOCK,225,225,225
SANGHVIMOV,,LXCHEM,,,,,,ICICIGI,,FIVESTAR,,AMBER,,LOWVOLIETF,,,,,,,,,,,,,,,,,,,,MCX,225,225,225
SAMBHV,,SAMBHV,,,,,,BSE,,IREDA,,COFORGE,,ESG,,,,,,,,,,,,,,,,,,,,MFSL,400,400,400
TARSONS,,RPTECH,,,,,,FORTIS,,AWL,,PVRINOX,,GROWWRAIL,,,,,,,,,,,,,,,,,,,,MIDCPNIFTY,120,120,120
CAMLINFINE,,RRIL,,,,,,APOLLOHOSP,,RELIANCE,,PIIND,,MON50EQUAL,,,,,,,,,,,,,,,,,,,,M&M,200,200,200
KRISHNADEF,,SANGHVIMOV,,,,,,LUPIN,,SCHAEFFLER,,SCHAEFFLER,,JUNIORBEES,,,,,,,,,,,,,,,,,,,,MOTHERSON,6150,6150,6150
LXCHEM,,TARSONS,,,,,,BAJAJFINSV,,DLF,,RELIANCE,,GILT5YBEES,,,,,,,,,,,,,,,,,,,,MOTILALOFS,775,775,775
COMPINFO,,CONFIPET,,,,,,NBCC,,ZYDUSLIFE,,CIEINDIA,,MOLOWVOL,,,,,,,,,,,,,,,,,,,,MPHASIS,275,275,275
OMNI,,HCL-INSYS,,,,,,BRITANNIA,,GALLANTT,,POWERINDIA,,ICICIB22,,,,,,,,,,,,,,,,,,,,MUTHOOTFIN,275,275,275
GKWLIMITED,,COMPINFO,,,,,,NHPC,,GICRE,,JIOFIN,,EQUAL50,,,,,,,,,,,,,,,,,,,,NAM-INDIA,625,625,625
IMAGICAA,,GNFC,,,,,,DALBHARAT,,PVRINOX,,BDL,,MOPSE,,,,,,,,,,,,,,,,,,,,NATIONALUM,1875,1875,1875
ORTINGLOBE,,GKWLIMITED,,,,,,SOLARINDS,,CONCOR,,BIRLACORPN,,MNC,,,,,,,,,,,,,,,,,,,,NAUKRI,550,550,550
OFSS,,CAMLINFINE,,,,,,YESBANK,,GODREJCP,,IDFCFIRSTB,,NIFTY50EQLWGT,,,,,,,,,,,,,,,,,,,,NBCC,6500,6500,6500
SUMICHEM,,ORTINGLOBE,,,,,,JSWSTEEL,,JIOFIN,,RRKABEL,,NIFTYETF,,,,,,,,,,,,,,,,,,,,NESTLEIND,500,500,500
KNAGRI,,KNAGRI,,,,,,ASIANPAINT,,GMRAIRPORT,,NUVAMA,,TOP100CASE,,,,,,,,,,,,,,,,,,,,NHPC,6950,6950,6950
ITBEES,,VADILALIND,,,,,,NAM-INDIA,,POWERINDIA,,GRANULES,,NIFTY100EQLWGT,,,,,,,,,,,,,,,,,,,,NIFTY,65,65,65
WINDMACHIN,,KROSS,,,,,,SHREECEM,,INDUSTOWER,,INOXWIND,,BBETF0432,,,,,,,,,,,,,,,,,,,,NMDC,6750,6750,6750
MEDIASSIST,,OFSS,,,,,,HAL,,DABUR,,JYOTHYLAB,,MOREALTY,,,,,,,,,,,,,,,,,,,,NTPC,1500,1500,1500
SANCO,,RADICO,,,,,,KFINTECH,,GRANULES,,JKPAPER,,MOALPHA50,,,,,,,,,,,,,,,,,,,,NUVAMA,500,-,-
BNAGROCHEM,,PRINCEPIPE,,,,,,POLICYBZR,,HDFCBANK,,CONCOR,,MSCIINDIA,,,,,,,,,,,,,,,,,,,,NYKAA,3125,3125,3125
BLKASHYAP,,SANCO,,,,,,ETERNAL,,CESC,,HDFCBANK,,FLEXIADD,,,,,,,,,,,,,,,,,,,,OBEROIRLTY,350,350,350
BANSALWIRE,,BNAGROCHEM,,,,,,ADANIGREEN,,PREMIERENE,,FIVESTAR,,MOMNC,,,,,,,,,,,,,,,,,,,,OFSS,100,100,100
RADICO,,BLKASHYAP,,,,,,INFY,,NEWGEN,,GICRE,,GROWWRLTY,,,,,,,,,,,,,,,,,,,,OIL,1400,1400,1400
CONFIPET,,SUMICHEM,,,,,,TATAPOWER,,GROWW,,BAYERCROP,,NIFTYBEES,,,,,,,,,,,,,,,,,,,,ONGC,2250,2250,2250
AXISTECETF,,BANSALWIRE,,,,,,WIPRO,,IDFCFIRSTB,,HONAUT,,AXISNIFTY,,,,,,,,,,,,,,,,,,,,PAGEIND,20,20,20
FSL,,FSL,,,,,,SRF,,BAYERCROP,,ATUL,,AXISCETF,,,,,,,,,,,,,,,,,,,,PATANJALI,1075,1075,1075
HYBRIDFIN,,HYBRIDFIN,,,,,,PATANJALI,,TBOTEK,,HCLTECH,,HDFCNIF100,,,,,,,,,,,,,,,,,,,,PAYTM,725,725,725
HDFCNIFIT,,FILATFASH,,,,,,KALYANKJIL,,HSCL,,GODREJCP,,MIDCAPBETA,,,,,,,,,,,,,,,,,,,,PERSISTENT,125,125,125
FILATFASH,,GSS,,,,,,BIOCON,,INOXWIND,,TANLA,,LOWVOL1,,,,,,,,,,,,,,,,,,,,PETRONET,1900,1900,1900
GSS,,ENTERO,,,,,,RBLBANK,,BDL,,DABUR,,SHARIABEES,,,,,,,,,,,,,,,,,,,,PFC,1300,1300,1300
VENUSPIPES,,ZEEMEDIA,,,,,,KEI,,HCLTECH,,CAMS,,MOIPO,,,,,,,,,,,,,,,,,,,,PGEL,950,950,950
ZEEMEDIA,,ENGINERSIN,,,,,,TORNTPHARM,,RRKABEL,,MRF,,NEXT50,,,,,,,,,,,,,,,,,,,,PHOENIXLTD,350,350,350
SAATVIKGL,,PREMIERPOL,,,,,,VMM,,OBEROIRLTY,,CESC,,SENSEXIETF,,,,,,,,,,,,,,,,,,,,PIDILITIND,500,500,500
AYE,,NAGREEKCAP,,,,,,AMBUJACEM,,ONESOURCE,,GPIL,,CONSUMBEES,,,,,,,,,,,,,,,,,,,,PIIND,175,175,175
ESSENTIA,,THANGAMAYL,,,,,,GAIL,,EMMVEE,,UTIAMC,,SNXT50BETA,,,,,,,,,,,,,,,,,,,,PNB,8000,8000,8000
RPTECH,,SAATVIKGL,,,,,,TIINDIA,,BSE,,HSCL,,LICNETFGSC,,,,,,,,,,,,,,,,,,,,PNBHOUSING,650,650,650
NAGREEKCAP,,OMNI,,,,,,GRASIM,,BHEL,,OBEROIRLTY,,MIDSELIETF,,,,,,,,,,,,,,,,,,,,POLICYBZR,350,350,350
MMFL,,IMAGICAA,,,,,,DMART,,NUVAMA,,UPL,,GROWWDEFNC,,,,,,,,,,,,,,,,,,,,POLYCAB,125,125,125
ENTERO,,COSMOFIRST,,,,,,NTPC,,LGEINDIA,,BHEL,,FMCGIETF,,,,,,,,,,,,,,,,,,,,POWERGRID,1900,1900,1900
INFOBEAN,,AYE,,,,,,BHARTIARTL,,SAILIFE,,ALKEM,,GROWWEV,,,,,,,,,,,,,,,,,,,,POWERINDIA,25,25,25
ITADD,,HEXT,,,,,,INDIANB,,PIIND,,ACE,,IVZINNIFTY,,,,,,,,,,,,,,,,,,,,PREMIERENE,650,650,650
ENGINERSIN,,PARAS,,,,,,PFC,,INDUSINDBK,,FORTIS,,EQUAL50ADD,,,,,,,,,,,,,,,,,,,,PRESTIGE,450,450,450
GNFC,,INFOBEAN,,,,,,IOC,,RKFORGE,,KPITTECH,,NIFTYIETF,,,,,,,,,,,,,,,,,,,,RADICO,150,150,150
GODAVARIB,,BGRENERGY,,,,,,MUTHOOTFIN,,CAMS,,VBL,,MOMOMENTUM,,,,,,,,,,,,,,,,,,,,RBLBANK,3175,3175,3175
EXICOM,,MADHAV,,,,,,MPHASIS,,ALKEM,,AAVAS,,IDFNIFTYET,,,,,,,,,,,,,,,,,,,,RECLTD,1575,1575,1575
MAPMYINDIA,,DHANUKA,,,,,,TECHM,,ANTHEM,,METROPOLIS,,MOMIDMTM,,,,,,,,,,,,,,,,,,,,RELIANCE,500,500,500
KROSS,,MMFL,,,,,,GLENMARK,,HEALTHCARE,,IDBI,,QNIFTY,,,,,,,,,,,,,,,,,,,,RVNL,1925,1925,1925
MADHAV,,INFY,,,,,,NAUKRI,,CONCORDBIO,,PNBHOUSING,,SETFNIF50,,,,,,,,,,,,,,,,,,,,SAIL,4700,4700,4700
CNXIT,,DIVGIITTS,,,,,,360ONE,,PNBHOUSING,,INDUSTOWER,,DIVOPPBEES,,,,,,,,,,,,,,,,,,,,SBICARD,800,800,800
GFLLIMITED,,MENONBE,,,,,,ANGELONE,,VBL,,BSE,,SBINEQWETF,,,,,,,,,,,,,,,,,,,,SBILIFE,375,375,375
THANGAMAYL,,VIVIDHA,,,,,,FEDERALBNK,,MRF,,CONCORDBIO,,MSCIADD,,,,,,,,,,,,,,,,,,,,SBIN,750,750,750
HEXT,,FMGOETZE,,,,,,DIVISLAB,,ATUL,,MAHABANK,,NIFTYBETF,,,,,,,,,,,,,,,,,,,,SHREECEM,25,25,25
COSMOFIRST,,SMSPHARMA,,,,,,COCHINSHIP,,ABCAPITAL,,INDHOTEL,,LICNMID100,,,,,,,,,,,,,,,,,,,,SHRIRAMFIN,825,825,825
REGAAL,,INTELLECT,,,,,,LAURUSLABS,,COFORGE,,SUNPHARMA,,HDFCLOWVOL,,,,,,,,,,,,,,,,,,,,SIEMENS,175,175,175
SBIETFIT,,STCINDIA,,,,,,CANBK,,INDIACEM,,PNB,,NIF100IETF,,,,,,,,,,,,,,,,,,,,SOLARINDS,50,50,50
INFY,,SADBHIN,,,,,,SUZLON,,BLS,,BLS,,HNGSNGBEES,,,,,,,,,,,,,,,,,,,,SONACOMS,1225,1225,1225
V2RETAIL,,ALLDIGI,,,,,,PETRONET,,ADANIPOWER,,RBA,,GSEC10ABSL,,,,,,,,,,,,,,,,,,,,SRF,200,200,200
APCOTEXIND,,GATECHDVR,,,,,,IDEA,,IDBI,,HAVELLS,,SELECTIPO,,,,,,,,,,,,,,,,,,,,SUNPHARMA,350,350,350
ITBETA,,TPHQ,,,,,,PERSISTENT,,UPL,,MANKIND,,ALPHAETF,,,,,,,,,,,,,,,,,,,,SUPREMEIND,175,175,175
DOLLAR,,POLICYBZR,,,,,,BANKBARODA,,CREDITACC,,CHOLAFIN,,ABSLMSCIN,,,,,,,,,,,,,,,,,,,,SUZLON,12700,12700,12700
MENONBE,,BORORENEW,,,,,,NMDC,,ACE,,RAINBOW,,NV20IETF,,,,,,,,,,,,,,,,,,,,SWIGGY,1825,1825,1825
RUPA,,DOLLAR,,,,,,JINDALSTEL,,GPIL,,INDUSINDBK,,SENSEXBETA,,,,,,,,,,,,,,,,,,,,TATACONSUM,550,550,550
ITETF,,DEEPAKFERT,,,,,,BEL,,NTPCGREEN,,CUB,,SENSEXADD,,,,,,,,,,,,,,,,,,,,TATAELXSI,125,125,125
VIVIDHA,,AKG,,,,,,IRFC,,MANKIND,,ABCAPITAL,,NIFTYQLITY,,,,,,,,,,,,,,,,,,,,TATAPOWER,1450,1450,1450
ZEEL,,NDGL,,,,,,SAIL,,SUNPHARMA,,ICICIPRULI,,HDFCBSE500,,,,,,,,,,,,,,,,,,,,TATASTEEL,2750,2750,2750
IT,,MAPMYINDIA,,,,,,TATASTEEL,,ICICIPRULI,,TATACONSUM,,HDFCNIFTY,,,,,,,,,,,,,,,,,,,,TCS,225,225,225
FMGOETZE,,KRIDHANINF,,,,,,RECLTD,,LATENTVIEW,,DCMSHRIRAM,,HDFCMOMENT,,,,,,,,,,,,,,,,,,,,TECHM,600,600,600
TECH,,ADVENZYMES,,,,,,GVT&D,,INDHOTEL,,CRAFTSMAN,,NIF100BEES,,,,,,,,,,,,,,,,,,,,TIINDIA,200,200,200
VADILALIND,,GODAVARIB,,,,,,SBILIFE,,MAHABANK,,CHALET,,SBIETFCON,,,,,,,,,,,,,,,,,,,,TITAN,175,175,175
STCINDIA,,RUPA,,,,,,MFSL,,HONAUT,,ADANIPOWER,,TOP20,,,,,,,,,,,,,,,,,,,,TMPV,1600,1600,1600
SADBHIN,,GRWRHITECH,,,,,,AUBANK,,CRAFTSMAN,,BANKINDIA,,HDFCSENSEX,,,,,,,,,,,,,,,,,,,,TORNTPHARM,125,125,125
DEEPAKFERT,,PNGSREVA,,,,,,OIL,,HAVELLS,,APOLLOHOSP,,GROWWMOM50,,,,,,,,,,,,,,,,,,,,TRENT,225,225,225
SMSPHARMA,,REGAAL,,,,,,NYKAA,,POLYCAB,,GMMPFAUDLR,,AXSENSEX,,,,,,,,,,,,,,,,,,,,TVSMOTOR,175,175,175
PNGSREVA,,VITAL,,,,,,ONGC,,APOLLOHOSP,,MHRIL,,ELM250,,,,,,,,,,,,,,,,,,,,ULTRACEMCO,50,50,50
ADVENZYMES,,MERCANTILE,,,,,,MANAPPURAM,,ACUTAAS,,GAEL,,AUTOBEES,,,,,,,,,,,,,,,,,,,,UNIONBANK,4425,4425,4425
DHANUKA,,CONSOFINVT,,,,,,APLAPOLLO,,AXISBANK,,KEI,,GILT5BETA,,,,,,,,,,,,,,,,,,,,UNITDSPR,400,400,400
VISHNU,,GSFC,,,,,,COALINDIA,,TATACONSUM,,BAJFINANCE,,NIFTYDIVOPPS50,,,,,,,,,,,,,,,,,,,,UNOMINDA,550,550,550
ITIETF,,BYKE,,,,,,POWERGRID,,KPITTECH,,VARROC,,CONS,,,,,,,,,,,,,,,,,,,,UPL,1355,1355,1355
GSFC,,SIGACHI,,,,,,ASTRAL,,CHOLAFIN,,CAPLIPOINT,,TOP15IETF,,,,,,,,,,,,,,,,,,,,VBL,1275,1275,1275
TPHQ,,FAZE3Q,,,,,,TITAN,,BANKINDIA,,AXISBANK,,LICNETFN50,,,,,,,,,,,,,,,,,,,,VEDL,1150,1150,1150
GATECHDVR,,ROSSTECH,,,,,,DELHIVERY,,UTIAMC,,ASIANPAINT,,SENSEXETF,,,,,,,,,,,,,,,,,,,,VMM,4850,4850,4850
INTELLECT,,ABSLAMC,,,,,,HINDALCO,,PNB,,HOMEFIRST,,MONIFTY100,,,,,,,,,,,,,,,,,,,,VOLTAS,375,375,375
AKG,,SKYGOLD,,,,,,LICI,,AAVAS,,ELECON,,LICMFGOLD,,,,,,,,,,,,,,,,,,,,WAAREEENER,175,175,175
NDGL,,FINOPB,,,,,,VEDL,,AIAENG,,ADANIENT,,ITIETF,,,,,,,,,,,,,,,,,,,,WIPRO,3000,3000,3000
KRIDHANINF,,DEVX,,,,,,HINDZINC,,PGEL,,MOTILALOFS,,AUTOIETF,,,,,,,,,,,,,,,,,,,,YESBANK,31100,31100,31100
GRWRHITECH,,VOLTAS,,,,,,SUPREMEIND,,CAPLIPOINT,,ADANIPORTS,,ESENSEX,,,,,,,,,,,,,,,,,,,,ZYDUSLIFE,900,900,900
DYCL,,ALLTIME,,,,,,NATIONALUM,,CHALET,,UCOBANK,,TNIDETF,,,,,,,,,,,,,,,,,,,,,,,
DEEPAKNTR,,ZEEL,,,,,,BANDHANBNK,,RAINBOW,,SOLARINDS,,MOMENTUM,,,,,,,,,,,,,,,,,,,,,,,
VITAL,,HGM,,,,,,,,GLAXO,,ASTRAZEN,,AONEGOLD,,,,,,,,,,,,,,,,,,,,,,,
POLICYBZR,,GATECH,,,,,,,,MOTILALOFS,,CRISIL,,MOGOLD,,,,,,,,,,,,,,,,,,,,,,,
SKYGOLD,,EXICOM,,,,,,,,ADANIPORTS,,GLAXO,,IT,,,,,,,,,,,,,,,,,,,,,,,
MERCANTILE,,VISHNU,,,,,,,,HOMEFIRST,,HDFCLIFE,,BFSI,,,,,,,,,,,,,,,,,,,,,,,
PARAS,,DEEPAKNTR,,,,,,,,BAJAJHFL,,MEDANTA,,TECH,,,,,,,,,,,,,,,,,,,,,,,
CONSOFINVT,,DYCL,,,,,,,,ADANIENT,,LATENTVIEW,,MOTOUR,,,,,,,,,,,,,,,,,,,,,,,
BYKE,,SHAREINDIA,,,,,,,,DCMSHRIRAM,,AIAENG,,ITBEES,,,,,,,,,,,,,,,,,,,,,,,
SIGACHI,,NIITLTD,,,,,,,,ITC,,RKFORGE,,LICNETFSEN,,,,,,,,,,,,,,,,,,,,,,,
VOLTAS,,QUICKHEAL,,,,,,,,CRISIL,,ITC,,MOSERVICE,,,,,,,,,,,,,,,,,,,,,,,
RRIL,,KPIGREEN,,,,,,,,ASIANPAINT,,CROMPTON,,HDFCPVTBAN,,,,,,,,,,,,,,,,,,,,,,,
ROSSTECH,,LAXMIDENTL,,,,,,,,BAJFINANCE,,TATACOMM,,INTERNET,,,,,,,,,,,,,,,,,,,,,,,
FAZE3Q,,MADRASFERT,,,,,,,,CROMPTON,,BEML,,PVTBANIETF,,,,,,,,,,,,,,,,,,,,,,,
FINOPB,,LODHA,,,,,,,,SOLARINDS,,ATGL,,ITETF,,,,,,,,,,,,,,,,,,,,,,,
GTLINFRA,,SGMART,,,,,,,,BEML,,LTTS,,ITBETA,,,,,,,,,,,,,,,,,,,,,,,
DEVX,,ASAL,,,,,,,,HDFCLIFE,,ROUTE,,PVTBANKADD,,,,,,,,,,,,,,,,,,,,,,,
DIVGIITTS,,TPLPLASTEH,,,,,,,,FORTIS,,POLYCAB,,NV20,,,,,,,,,,,,,,,,,,,,,,,
VINDHYATEL,,HIKAL,,,,,,,,TATACOMM,,JSWSTEEL,,NV20BEES,,,,,,,,,,,,,,,,,,,,,,,
ABSLAMC,,CHEMCON,,,,,,,,ATGL,,QUESS,,ITADD,,,,,,,,,,,,,,,,,,,,,,,
SGMART,,BATLIBOI,,,,,,,,LICHSGFIN,,UNIONBANK,,CHOICEGOLD,,,,,,,,,,,,,,,,,,,,,,,
BORORENEW,,TARAPUR,,,,,,,,DEVYANI,,SAMMAANCAP,,EGOLD,,,,,,,,,,,,,,,,,,,,,,,
ALLTIME,,RATNAMANI,,,,,,,,LUPIN,,LUPIN,,GOLDETF,,,,,,,,,,,,,,,,,,,,,,,
HGM,,IGARASHI,,,,,,,,ICICIGI,,CARBORUNIV,,GROWWNET,,,,,,,,,,,,,,,,,,,,,,,
GATECH,,PFOCUS,,,,,,,,BAJAJFINSV,,ELGIEQUIP,,HDFCNIFIT,,,,,,,,,,,,,,,,,,,,,,,
MARSONS,,ESSENTIA,,,,,,,,MEDANTA,,BAJAJFINSV,,GOLDADD,,,,,,,,,,,,,,,,,,,,,,,
LODHA,,ARTNIRMAN,,,,,,,,ANANTRAJ,,LTM,,GOLDBETA,,,,,,,,,,,,,,,,,,,,,,,
KPIGREEN,,SANDUMA,,,,,,,,LTTS,,ADANIGREEN,,HDFCNIFBAN,,,,,,,,,,,,,,,,,,,,,,,
NPST,,HISARMETAL,,,,,,,,HINDPETRO,,WESTLIFE,,BANKADD,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,,DEVIT,,,,,,,,BPCL,,HINDPETRO,,BANKETF,,,,,,,,,,,,,,,,,,,,,,,
RPPL,,NAVINFLUOR,,,,,,,,UNIONBANK,,CENTRALBK,,SBIETFIT,,,,,,,,,,,,,,,,,,,,,,,
LAXMIDENTL,,STEELCAS,,,,,,,,CANFINHOME,,VTL,,BANKBETA,,,,,,,,,,,,,,,,,,,,,,,
